[1, '34xp4vRoCGJym3xR7yCVPFHoCNxv4Twseo', '299427']
[2, 'bc1qgdjqv0av3q56jvd82tkdjpy7gdp9ut8tlqmgrpmv24sq90ecnvqqjwvw97', '163011']
[3, '1P5ZEDWTKTFGxQjZphgWPQUpe554WKDfHQ', '115200']
[4, '35hK24tcLEWcgNA4JxpvbkNkoAcDGqQPsP', '107452']
[5, '37XuVSEpWW4trkfmvWzegTHQt7BdktSKUs', '94506']
[6, '38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67', '85064']
[7, '1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF', '79957']
[8, '3LYJfcfHPXYJreMsASk2jkn69LWEYKzexb', '73601']
[9, 'bc1qa5wkgaew2dkv56kfvj49j0av5nml45x9ek9hz6', '69370']
[10, '3Kzh9qAqVWQhEsfQz7zEQL1EuSx5tyNLNS', '64803']
[11, '3LQeSjqS5aXJVCDGSHPR88QvjheTwrhP8N', '58815']
[12, '1LdRcdxfbSnmCYYNdeYpUnztiYzVfBEQeC', '53880']
[13, '1AC4fMwgY8j9onSbXEWeH6Zan8QGMSdmtA', '51830']
[14, 'bc1q5pucatprjrqltdp58f92mhqkfuvwpa43vhsjwpxlryude0plzyhqjkqazp', '45559']
[15, '1LruNZjwamWJXThX2Y8C2d47QqhAkkc5os', '44000']
[16, '3FGKwP7XQA9Gb27if7zQGJSSynbzWLrV3p', '40862']
[17, '385cR5DM96n1HvBDMzLHPYcw89fZAXULJP', '40602']
[18, '3Gpex6g5FPmYWm26myFq7dW12ntd8zMcCY', '40014']
[19, 'bc1q5shngj24323nsrmxv99st02na6srekfctt30ch', '40000']
[20, '36KAwNUR8VeLpUfGwdk7LEN6F4yvoRWMjn', '39709']
[21, '3D8qAoMkZ8F1b42btt2Mn5TyN7sWfa434A', '36001']
[22, '17hf5H8D6Yc4B7zHEg3orAtKn7Jhme7Adx', '36000']
[23, '3EBpAZUAW5Tzyd2FhmmUZnYgftxJkKSLmJ', '35237']
[24, '3LCGsSmfr24demGvriN4e3ft8wEcDuHFqh', '32969']
[25, '12XqeqZRVkBDgmPLVY4ZC6Y4ruUUEug8Fx', '32354']
[26, '12ib7dApVFvg82TXKycWBNpN8kFyiAN1dr', '31000']
[27, 'bc1qvpgyac88vqtslewxu7yu9dqwp8rd83zch55zpm3xgn3mgg72w3kqv0s8qa', '28830']
[28, '1NDyJtNTjmwk5xPNhjgAMu4HDHigtobu1s', '28507']
[29, '3FpYfDGJSdkMAvZvCrwPHDqdmGqUkTsJys', '28327']
[30, '12tkqA9xSoowkzoERHMWNKsTey55YEBqkv', '28151']
[31, '39WQqCosC8ZD4S9XBPHRnnRUeVRvNctnnm', '27908']
[32, '17MWdxfjPYP2PYhdy885QtihfbW181r1rn', '24495']
[33, '19D5J8c59P2bAkWKvxSYw8scD3KUNWoZ1C', '23969']
[34, '3JZq4atUahhuA9rLhXLMhhTo133J9rF97j', '23845']
[35, '1AnwDVbwsLBVwRfqN2x9Eo4YEJSPXo2cwG', '23228']
[36, '1932eKraQ3Ad9MeNBHb14WFQbNrLaKeEpT', '22900']
[37, '1MDq7zyLw6oKichbFiDDZ3aaK59byc6CT8', '22400']
[38, '1aXzEKiDJKzkPxTZy9zGc3y1nCDwDPub2', '22281']
[39, '14eQD1QQb8QFVG8YFwGz7skyzsvBLWLwJS', '22211']
[40, '3FupZp77ySr7jwoLYEJ9mwzJpvoNBXsBnE', '21185']
[41, '3ByyPAZmzANfV1sMALVU8zdorPUHEbkZZi', '20499']
[42, 'bc1qx9t2l3pyny2spqpqlye8svce70nppwtaxwdrp4', '20479']
[43, '3HSMPBUuAPQf6CU5B3qa6fALrrZXswHaF1', '20376']
[44, '3QJRVfnJpzfNe1dr8hprCQrKJTnuRNwyrw', '20206']
[45, 'bc1qtw30nantkrh7y5ue73gm4mmy0zezfqxug3psr94sd967qwg7f76scfmr9p', '20136']
[46, '17rm2dvb439dZqyMe2d4D6AQJSgg6yeNRn', '20008']
[47, '3H5JTt42K7RmZtromfTSefcMEFMMe18pMD', '19587']
[48, '1PeizMg76Cf96nUQrYg8xuoZWLQozU5zGW', '19414']
[49, '38FkZJ32qaNTieBFUVHqQS1LQAZK8VFKkx', '18800']
[50, '3DVJfEsDTPkGDvqPCLC41X85L1B1DQWDyh', '18433']
[51, '35ULMyVnFoYaPaMxwHTRmaGdABpAThM4QR', '17956']
[52, 'bc1qqnt4td9a8xqrqtswvf6n27x0p8n948l2fgye3r6f3yk2d9838scs77ptr3', '17865']
[53, '34MSicAL7qVGkevFPLwyc9KohGzoUSnu3Q', '15800']
[54, '1GR9qNz7zgtaW5HwwVpEJWMnGWhsbsieCG', '15746']
[55, '16S67V8PRG5sUh13Rgsj1AKVnpJYhHz4rN', '15464']
[56, '39gUvGynQ7Re3i15G3J2gp9DEB9LnLFPMN', '15248']
[57, '3ETUmNhL2JuCFFVNSpk8Bqx2eorxyP9FVh', '15191']
[58, '1KUr81aewyTFUfnq4ZrpePZqXixd59ToNn', '15000']
[59, '3BMEXxSMT2b2kvsnC4Q35d2kKJZ4u9bSLh', '14805']
[60, '3BMEXqGpG4FxBA1KWhRFufXfSTRgzfDBhJ', '14770']
[61, '3EMVdMehEq5SFipQ5UfbsfMsH223sSz9A9', '14199']
[62, '1BZaYtmXka1y3Byi2yvXCDG92Tjz7ecwYj', '14000']
[63, '19iqYbeATe4RxghQZJnYVFU4mjUUu76EA6', '11815']
[64, '19G5kkYvjawZiYKhFeh8WmfBN31pdP94Jr', '11102']
[65, '35pgGeez3ou6ofrpjt8T7bvC9t6RrUK4p6', '10983']
[66, '3KTQYXvjteNoMECi62JYuqXobYQpcHjoVs', '10943']
[67, '1F34duy2eeMz5mSrvFepVzy7Y1rBsnAyWC', '10771']
[68, 'bc1qhd0r5kh3u9mhac7de58qd2rdfx4kkv84kpx302', '10500']
[69, '3GQt3CF2w654acBveUh9DbdbXkTYovrfKg', '10088']
[70, '1f1miYFQWTzdLiCBxtHHnNiW7WAWPUccr', '10009']
[71, '3E5B5QbDjUL471PEed9vZDwCSck9btBLkD', '10002']
[72, '1BAFWQhH9pNkz3mZDQ1tWrtKkSHVCkc3fV', '10000']
[73, '14YK4mzJGo5NKkNnmVJeuEAQftLt795Gec', '10000']
[74, '1Ki3WTEEqTLPNsN5cGTsMkL2sJ4m5mdCXT', '10000']
[75, '1KbrSKrT3GeEruTuuYYUSQ35JwKbrAWJYm', '10000']
[76, '1P1iThxBH542Gmk1kZNXyji4E4iwpvSbrt', '10000']
[77, '12tLs9c9RsALt4ockxa1hB4iTCTSmxj2me', '10000']
[78, '1ucXXZQSEf4zny2HRwAQKtVpkLPTUKRtt', '10000']
[79, '1CPaziTqeEixPoSFtJxu74uDGbpEAotZom', '10000']
[80, '1LfV1tSt3KNyHpFJnAzrqsLFdeD2EvU1MK', '10000']
[81, '1PN1xjngm9jhY9duuR8af7CXmK3QVcsixJ', '10000']
[82, '3DwVjwVeJa9Z5Pu15WHNfKcDxY5tFUGfdx', '10000']
[83, '1LbUMzM7tmyVJCpzBJTi5ZVmRb2Vn8mwVH', '10000']
[84, '1AMDVupuTEeTSnKi6LoSFBqikQybufZsv1', '10000']
[85, '1DTmjcZo3MMH9MscHizTLjrUxnvwvSLdf7', '10000']
[86, '1JpAvQxbxurhU8wfxszCtzFey4D6N8goJv', '10000']
[87, '1EU2pMence1UfifCco2UHJCdoqorAtpT7', '10000']
[88, '1AFNceZVB2MshqU5AEoxg14R7LrUx6Un6C', '9982']
[89, '1BxgwUXszgVMrs9ZSfdcGLqne2vMYaW8jf', '9895']
[90, '3265tcUcp8dBhBBwp4rKN3iyUptuHkzMq7', '9759']
[91, '1Kd6zLb9iAjcrgq8HzWnoWNVLYYWjp3swA', '9707']
[92, 'bc1qajh7jfy44sswutqlwj2tz9wcejpxrgflc8penw', '9500']
[93, '1P9fAFAsSLRmMu2P7wZ5CXDPRfLSWTy9N8', '9425']
[94, '1HLvaTs3zR3oev9ya7Pzp3GB9Gqfg6XYJT', '9260']
[95, '3QB2qhnj5Xxwhh3GKcfwQDSkL91BCCn5cp', '9151']
[96, 'bc1qh4cpaydaqlzez8ekkasm3ygj4us7gwxsghh047', '9112']
[97, '17CzhFvGwH6TT46JtzhnhMpTw4mHYpEGCR', '9107']
[98, 'bc1q78wmm8xnhveklsparpeq6drlg9wlq4lyahkqfp', '9099']
[99, '1Cr7EjvS8C7gfarREHCvFhd9gT3r46pfLb', '9050']
[100, '1J1F3U7gHrCjsEsRimDJ3oYBiV24wA8FuV', '9000']
[101, '167ZWTT8n6s4ya8cGjqNNQjDwDGY31vmHg', '8999']
[102, '13seeNq6CqsCguXpxfMqh457w6B1krJNaf', '8850']
[103, 'bc1q4ph3834lsfcx87k3hh3jmzkrfygthtswtpcjnst4dnjqfjvrsjfqznurmz', '8818']
[104, 'bc1qs46r76ltll5qv7s6svjv4yh69uvr5ux5e48aa5', '8674']
[105, 'bc1qhszrd0ef5we6mg3r7xgl05g8rx06xll8yrwmjh', '8611']
[106, '19rxQRpXBMQcbsYcxo6w9xL54o1sXDeXdA', '8539']
[107, '1Ec3rkAfVjjFNMTs8Y9CFrXPG6M6BJvz3u', '8401']
[108, '1FqM3gyBgLxBrvg6Kx1R33Qs8jsLRGprgf', '8320']
[109, '178KR5zk2Z2rc6rWdczpHBAokBDkjoC8jC', '8253']
[110, '1QHVStz4ALAF8LFokjLy9QFaZKUFdraxeo', '8150']
[111, '1JU5gDTe6wvMEymgrHx2fobPeHEQiQNwLN', '8100']
[112, '36hbDz8GSBpQdEf2UzcKieCNxSA3HS17JX', '8064']
[113, '18zuLTKQnLjp987LdxuYvjekYnNAvXif2b', '8021']
[114, '3MPcUSHeWCSxCUsJtTS2L2zZfWLvorNFef', '8003']
[115, '3JSssZCJ3PHEdgNv7hzNE26EEzzvYNjZLy', '8001']
[116, '3PWn1AGqo8HWH8mXSsxx1Ytk87zMAAziFU', '8000']
[117, '17SAATrqavNbzmqBwqxzZc7rK6u9Rmi9hE', '8000']
[118, '198aMn6ZYAczwrE5NvNTUMyJ5qkfy4g3Hi', '8000']
[119, '18f6y4uWnLd7VPzfR2c1dMboihghXYHRH3', '8000']
[120, '1MYv4C4hZ7hC5sbHrPkzvmNoozQgnHKeAU', '8000']
[121, '1Eqj1APg1dkcPH7CmHJ6SzRwtJRLpxtBFA', '8000']
[122, '1Lan1sQzYGViDZskUFmnitJvfejn2jYdNS', '8000']
[123, '17RmGC3i2dASQai3mP9iJLX3ZD9TBm2YQV', '8000']
[124, '18oRfGoPpb6bkQdACnD6dVYWceeWURK5R6', '8000']
[125, '1PL2cmmMLmGGDtqaSZJY8DR1iKJaziEPJv', '8000']
[126, '15mxk4fKk9ggQ4fikNWKpasahsdXZNdVu2', '8000']
[127, '1gvH7pGPrEBNjqmwYS8UDhjFQkyqkKCLE', '8000']
[128, '1HGdi2AtuvBUcdTFe62sKd7ZAFzoG7iQLb', '8000']
[129, '1M9pAdfhGHtQkhGRijApWAkkrPCduvV6Zi', '8000']
[130, '1Fjom9b9wvp3HPi2ZS9hqXQwJpXcjumSYJ', '8000']
[131, '19om4Guv9QmVesS7AewMUyE5JUJ9H7xwNN', '8000']
[132, '1Fn4FSiHFr9SgbQ3ccsybN9f3RF1omst4x', '8000']
[133, '14KzHoS5dXbhy2kBevNKLz2ZMtjaqHkKWZ', '8000']
[134, '16BBBjvAArL3zdb1Fh1isr2w2hX7K1K4Gm', '8000']
[135, '17GAbQ5DSqnEhyrMMLd9yaraAmVyvoZJ3Z', '8000']
[136, '12US3aeNibsxe7Lhascm4AmvGiTxwSdD4X', '8000']
[137, '1Jc7vYQHCnmdyhbpcv5o3pYtUbH6Sk139z', '8000']
[138, '1KoiNofDvcUrrVfxgqpRZixWXNXo6d2kfQ', '8000']
[139, '17J26KSDtNFPAUhCMwjcRNWhneMsXS75Ba', '8000']
[140, '19F4xZNBxtPAdMqFudr2LDH5efeeUYF21x', '8000']
[141, '16BiUbH8yxFmCJs4ArtyTgHKfXQFvkvPNr', '8000']
[142, '13pTeUzSU4nwkM72hM6e8AcP2d8LudZBjc', '8000']
[143, '18Ayw3caz2xGDhTfz1nJxLw1NURPtBNJnn', '8000']
[144, '18saWjMCchDTGWunefuDJSWNdz4p6KtfBL', '8000']
[145, '1Gjkd1hwrJxM9h5Sj1W5bfEN6km1qkVCg4', '8000']
[146, '17rVQwoL5v18KfoQJNMMoMBm3rDjodxw1m', '8000']
[147, '1NJdKoBkKQNg6aYL9HTKyQ5SgfjZQDz3y3', '8000']
[148, '1Cus9pZdkckCz23bDAsKMY6aLSQ7CmuHyw', '8000']
[149, '12mJZGPCWf5C2ap2dUdJiuGr8eWAvi6E5M', '8000']
[150, '1JaUiAyoRXr4kqxm3ZQP5uFZmF57bkqXbu', '8000']
[151, '15QFkJUWFZ6QRpTrzUitH2Egyf1JTngVgV', '8000']
[152, '1FMbcnYvvccZ6hR324cFRpn1QX9TCkqtAe', '8000']
[153, '1Le1X8LJb4VkFsfktiUY7V7wMRhniu5Xgn', '8000']
[154, '15URsTiy1ksoMMV7DuEi9hvSqHgqobAtKa', '8000']
[155, '15ZQJagAa2iUCwpQXUUCZ4BfzFW5TAVyJj', '8000']
[156, '1BMi633XQ8jt45Tb5EvZ4xdZHb2GzxKSfb', '8000']
[157, '13nwifHUz5ZfHuQhk5ETJ4BhmqbuQdvTFp', '8000']
[158, '134ooU6EQmCFFzEPN7yga3S1XikcBtynco', '8000']
[159, '1J2zKTQnSrLJMXZTnA3a5ky1W2L3PJhagC', '8000']
[160, '16H2Fe9MgxZ1jXW3TaXbgWh3SJfwyxQUTp', '8000']
[161, '1MLsZmbT3mgmm6zLkTR26yJHVfn8BSdqqd', '8000']
[162, '1FDzP5vQGMhCzeb9nH4AcUDnUbcHS22BMZ', '8000']
[163, '1GBWcQuY5aD6e2zrbdb38j7pizVr2wcJnC', '8000']
[164, '17GyU83L63BtxtpDgv8LmhhtmvcrXbfVt1', '8000']
[165, '157ZXCYfK6NqBiFLkoLDt3PN8KyE8xdTu5', '8000']
[166, '1KLay1g7rZxAiotuDhGy5YizdXSpqkFxQ9', '8000']
[167, '1Dt4Q2ofKUtHwvjN45tAUfikNBfJrDERcZ', '8000']
[168, '1Djs2VyBVr6MYNcGVaHAr8B3N1mViS5yoo', '8000']
[169, '1Kphp4WNPLpScp5T5f63jnVS9ohK6a86g7', '8000']
