[201, '1JnfbQerGjFHVq28945y1bhoUHpn6vKM9v', '8000']
[202, '3Mzdh31vo6wUPTWnZ7GncPPWXA1WDopkhm', '8000']
[203, '1BcAtWddaU1jHWgQvM7dpM5SefoVgUHEuC', '7998']
[204, 'bc1qpy4jwethqenp4r7hqls660wy8287vw0my32lmy', '7983']
[205, '1GcPTDtNXuPghJU5qSGvkPQ99nhWrbQaYR', '7960']
[206, '14ACC7ftHQS6guKJi3FCTEyCw94dHnRZjJ', '7954']
[207, '1CsAkAsjTTRAuRw39fRQj7pxKn3fjEuYsT', '7951']
[208, '15Z5YJaaNSxeynvr6uW6jQZLwq3n1Hu6RX', '7941']
[209, '13TM7PLtf1Ujo9t9pk9RSyrv1ts119PNK5', '7940']
[210, '1GBzbXJmcMjnDyTW2yKJFfeXUGicG1zpC4', '7930']
[211, '19yLTkx4jggSnjdiGkkhNwTjZUyY5T8kEA', '7894']
[212, '1GaSQcWg3R98qf5sTWetwjjMh6ehxj25Gp', '7866']
[213, '13AiVabLoTcYTdaFcFYtpFFmCFagjiUwE2', '7866']
[214, '12T7nyMrAnd13UAMYCCJZ8Fw7PpMGPRFsi', '7862']
[215, '1LjUYdf8mQk9DsrVvuPYeHyJKQq5V1MLsT', '7820']
[216, '1MH8s3qc4F2GZNod1R43qeysSB2ssZCXb', '7812']
[217, '1KHw7yzqoWto1DCGqn7QihoLmzbYWCqNcR', '7809']
[218, '1Gtpfqoo8stQw2E4vCbZZbJBBZvYzzCeRy', '7804']
[219, '34ovCavdkQgEYbrJk9Q1onhK7uWqq6J7DC', '7796']
[220, '39e7mxbeNmRRnjfy1qkphv1TiMcztZ8VuE', '7737']
[221, '1HG3P4Jwk2ZqS4asxqesb9336NcLPY8fYj', '7731']
[222, '3HCdgNiAsjidcGx4eeMK9AXvXBfrnteunW', '7700']
[223, '33eU1zeB2S4x3p4ccSsnAChXcGJgtMrMtZ', '7547']
[224, '1BzKYD5nYznpEcnWCSm2pMiEfBZbkWzhgn', '7500']
[225, '3Jz9R3Eevdx2nrSidWt6ZB3fntznCcZ5TN', '7401']
[226, '1JfXLzQvYPZHNzX4vhH6aoetGDfcPD1YEX', '7300']
[227, '1BYpY2Zm14ia9kmhwoBHwdW1YpdDiAo2UV', '7114']
[228, '1B4U28Yc1JmSQbpzzSfavEskTPMvBRphyD', '7082']
[229, '36rPiyFi4pZmnAyYbDTABqLN3WcWP6yJXS', '7000']
[230, '13eEt6myAo1zAC7o7RK5sVxxCNCAgd6ApH', '7000']
[231, 'bc1q0uelajkrvamkwa3k4gj3hfmmfznhxxlntazqlc', '7000']
[232, '1DzjE3ANaKLasY2n6e5ToJ4CQCXrvDvwsf', '7000']
[233, '15YMdTNT83UJqfpaZfDccy9yBYQFxHxVFt', '7000']
[234, '1D2B7zfX6HgnuG7bMT1znFMsGdqX97Fnon', '7000']
[235, '324rP14bzX8kW1JWt1J8ohZjDFyt2G68Kq', '7000']
[236, '1FJuzzQFVMbiMGw6JtcXefdD64amy7mSCF', '6999']
[237, '148vGgpfsdztGw7c9wH57bvgT1ev17mpyc', '6990']
[238, '186XqVoL7TGxR3osoo4xn32wbYtb527raY', '6977']
[239, '1Ac2JdpQ5c9NeSajdGx6dofxeXkn4S35ft', '6878']
[240, '12CEGvJfHFCVGGUBTTA5yUaPHhchBPpuZK', '6782']
[241, '12V3MQ1Wpg3RCNoypHUzZUzJ5HQ7BLeB5k', '6713']
[242, '39ARNYJHoNoVJw5f9fBgn7qcec4r91gsQ8', '6700']
[243, '1A7znRYE24Z6K8MCAKXLmEvuS5ixzvUrjH', '6552']
[244, 'bc1q080rkmk3kj86pxvf5nkxecdrw6nrx3zzy9xl7q', '6547']
[245, '1LVBnipcnkwqHKaXcHeV9gcbPMvByaJkqk', '6522']
[246, '1AYLzYN7SGu5FQLBTADBzqKm4b6Udt6Bw6', '6512']
[247, '1NpZcfBnaJeoRT9ZqwZVRMw3SRs546VsuE', '6507']
[248, '1M5NkxdbwwRcmRnh8YpyBuKZnhMJGKjs9S', '6500']
[249, '356Zz26iW3tYd1xWJjVGa8CPbjC9W5EW9f', '6500']
[250, '36u73XJQANUZogUpdTLfSRyXyX8vDRQTsc', '6499']
[251, 'bc1qyd2k46lzcrt3cd3z0nrt9d99z6xnzvyn2r83a5z9xfg8adpyp0ss53fnz4', '6405']
[252, '332mzfZ28hudztAr6HEQvTp5yVBpvcYYTG', '6400']
[253, '1JxmKkNK1b3p7r8DDPtnNmGeLZDcgPadJb', '6316']
[254, '3FFgKaYkEf1M73QtzuY9DGqC7VeM2sAQhT', '6289']
[255, '16WrCPW3JQaXZ1EcqmWnFDxmmvdpRBwmWT', '6205']
[256, '1LBBmkr9muf7RjjBbzQQvzNQpRRaVEnavs', '6200']
[257, '18i8D9BACP5Wkha3UtUdr65uirSKJyT14N', '6170']
[258, '1JdTWTAubsDWXWd7wcsFwMuSapMBh6efrQ', '6072']
[259, '3JPauiFhP4K3AevmgNMFfMSN7pLZbuADJQ', '6001']
[260, '1J3B2ucUpWjWPPpejUCoLN93Gwz3q65CTd', '6000']
[261, '1JKDzFHcb6KBybKSquvMw1FrxXhvBdMiB5', '6000']
[262, '14vbdGfYS7UKMvc4334UZDvTMPFA2G7zCB', '6000']
[263, '1DwSAnZw4Gk9FotgWZhRb3Nzqi4PLdU8M', '6000']
[264, '1JECFWTZsRw65y65DEVR2djXv2KMYfuo7A', '6000']
[265, '1K8QG4fuswaWFZ2fmmuxVKaWibi9H95iGw', '6000']
[266, '3NbksiJft1spwvLUuQv9SBJwukpVi4aMaX', '5910']
[267, '138EMxwMtKuvCEUtm4qUfT2x344TSReyiT', '5908']
[268, '1PNJfc9MzeBGV1UAjegqhFJb3erejqKHCi', '5905']
[269, '16rHb8gSWsywJLX37wq7SRJqe63uUj2dFv', '5900']
[270, '35vGkkxF6wr4n9CLYi35ufZY4T5vP4wEqE', '5867']
[271, 'bc1q3waju5teta3m6arywqehzr0xa2xmn92k2mnzhmsee4hjghcnwpqqlpw5q4', '5787']
[272, 'bc1qvsak7hdk4h3lyzxws3a682fd034eqmj0nn5etj', '5759']
[273, 'bc1qhm45cy7psm88yhu3564v7mchzxqzdx0hr5vk39', '5725']
[274, '13n67sFKgqLDKp8gx8Xvm6scdfY4ZeaU8p', '5700']
[275, '3HroDXv8hmzKRtaSfBffRgedKpru8fgy6M', '5685']
[276, '18oP9DDaxKrC3XTMC2kZK1wLDGwUcky2oR', '5677']
[277, '3R2Hzkp1vKi5TNuLdUTiQphJQA6SKLa7zS', '5650']
[278, '1LCroRZ67ttnMPV5tnJNXNuN4o9wcoAUGK', '5626']
[279, '3E2adcep2NRRpriLnWn1AvW3AHKqBx2mMr', '5626']
[280, 'bc1q22jekef2t8qkxtrph57pnjh9scpw6df27ujwtkjms4upx32s3uqsrkewyc', '5625']
[281, '1DR93bfKVCUJkDvPuxbUAEtzYRaJEnwjNt', '5600']
[282, '1CCqLR8YrUMPFgYZWwLW8FkezbFjfeXD8n', '5595']
[283, '18NtfDdSGWDHLi7EWhj2ZDFopDQvSbH4Kk', '5578']
[284, '12qA97T8hsDgvVoRCXGZifd9PCraqvd2DW', '5555']
[285, '1EYLLmx2LJgyjppcz75VZwEUcqb4VjMnfo', '5523']
[286, 'bc1quv866t7ke929gxttpgc2u30ffnczpgfrjugwxv', '5500']
[287, '1FGgpAA5uyKsYHD8cmWk2HPA55XGSq7wWx', '5479']
[288, '19VTgHTWhM8xi32mDuCLR3kAgamRMahTu5', '5432']
[289, 'bc1qqn4q5yv7feltnsfwzxwm3fluryqqzhhp6457h6m4ytq7mauxlxgq872p5f', '5428']
[290, '1LGQBR9myyJCw2UtbyNNeKBVekDKcPZ2HA', '5377']
[291, '36NkTqCAApfRJBKicQaqrdKs29g6hyE4LS', '5351']
[292, '34ML1dQ4oqM2HUw8SZMJ2aBB9hY2qJY65Q', '5256']
[293, '3QhAtiUeg2HyxgvxJsXHUXs4mx4Uwz8wEG', '5210']
[294, '3JsY8m7nG2K2siHXzqto612u36hAzF7C6X', '5190']
[295, '1BVtDi7txPCG2TH5Crd2Rw5MtpivbmoKgB', '5186']
[296, '1FXHxbZ8HiGDCUrkainA9RKzqfHHkGi1hu', '5089']
[297, '3FAxrWQVgNNUZ4FCjRQgzDbce1vTyonzwC', '5084']
[298, '1BeouDc6jtHpitvPz3gR3LQnBGb7dKRrtC', '5075']
[299, 'bc1qzk2pyxtahg64cx6gyq02vrw65fdxtpr253r4ygww9n2w2zjyy8wsnyc666', '5026']
[300, '31i92LvmPTvBqi1F6wu81Ex1bUMMs143d6', '5001']
